manufacturer,hq_city,hq_country,website,product_name,product_url,explicitly_mobile,mobile_claim_source_url,mobile_claim_note,use_cases,maps_link
"Konica Minolta Planetarium Co., Ltd.",Tokyo,Japan,https://www.konicaminolta.com/planetarium/,DYNAVISION-LED,https://www.konicaminolta.com/planetarium/hard/planetariums/led_dome_system/dynavision-led/index.html,N,https://www.konicaminolta.com/planetarium/hard/planetariums/led_dome_system/dynavision-led/index.html,Produktseite ohne expliziten Mobile-/Portable-Claim.,Planetariums; dome theatres; signage,https://www.google.com/maps/search/?api=1&query=Konica+Minolta+Planetarium+Tokyo%2C+Japan
AUO Corporation,Hsinchu,Taiwan,https://www.auo.com/,ALED Dome Display,https://leddisplay.auo.com/products/aled-microled-display/creative-led-display/dome-led-display,N,https://leddisplay.auo.com/products/aled-microled-display/creative-led-display/dome-led-display,Modular/schnelle Installation erwähnt; kein expliziter Mobile-Claim.,Planetariums; immersive rooms; simulation,https://www.google.com/maps/search/?api=1&query=AUO+Corporation+Hsinchu%2C+Taiwan
Front Pictures + EKTA (SFERiX LED),Kyiv / Dnipro,Ukraine,https://sferixled.com/,SFERiX LED (spherical/dome),https://sferixled.com/SFERiX_brochure_2025.pdf,N,https://sferixled.com/SFERiX_brochure_2025.pdf,Broschüre beschreibt modulare LED-Kugel/Dome; kein expliziter Mobile-Claim für LED.,Amusement parks; planetariums; XR; virtual production,https://www.google.com/maps/search/?api=1&query=Front+Pictures+Kyiv%2C+Ukraine
Sight LED,Shenzhen,China,https://sightled.com/,360° Dome Flying Cinema LED Display,https://sightled.com/tg/dome-flying-cinema-led-display/,N,https://sightled.com/tg/dome-flying-cinema-led-display/,Produktseite ohne expliziten Mobile-Claim.,Flying cinema; theme parks; corporate events,https://www.google.com/maps/search/?api=1&query=Sight+LED+Shenzhen%2C+China
"Shenzhen LEDSOLUTION Technology Co., Ltd.",Shenzhen,China,https://www.iledsolution.com/,LED Dome System / TheaterX,https://www.iledsolution.com/led-dome-system/,N,https://www.iledsolution.com/led-dome-system/,Einsatzfelder inkl. 'exhibitions'; kein expliziter Mobile-Claim.,Flight simulator; flying theatre; planetarium; museum; exhibitions,https://www.google.com/maps/search/?api=1&query=Shenzhen+LEDSOLUTION+Shenzhen%2C+China
"DOIT VISION Co., Ltd.",Shenzhen,China,https://www.doitvision.com/,LED Dome Cinema System,https://www.doitvision.com/led-dome-cinema-system/,N,https://www.doitvision.com/led-dome-cinema-system/,Erwähnt Montage/Demontage modularer Panels; kein expliziter Mobile-Claim.,Dome cinema; museums; events; VR/AR centres,https://www.google.com/maps/search/?api=1&query=DOIT+VISION+Shenzhen%2C+China
Milestrong,Shenzhen,China,https://www.mile-strong.com/,Dome LED Display (Flying Theater),https://www.mile-strong.com/News/Dome-LED-Display-Flying-Theater.html,N,https://www.mile-strong.com/News/Dome-LED-Display-Flying-Theater.html,Kein expliziter Mobile-Claim.,Flying theater; immersive installations,https://www.google.com/maps/search/?api=1&query=Milestrong+LED+Shenzhen%2C+China
HTT LED (Huateng Tech),Shenzhen,China,https://www.huatengtech.com/,Dome/Flying Cinema LED Solutions,https://www.huatengtech.com/htt-led-flying-cinema-dome-cinema-led-screen-solutions/,N,https://www.huatengtech.com/htt-led-flying-cinema-dome-cinema-led-screen-solutions/,Kein expliziter Mobile-Claim.,Flying cinema; dome cinema,https://www.google.com/maps/search/?api=1&query=Huateng+Tech+Shenzhen%2C+China
COSM Technology,Los Angeles,USA,https://tech.cosm.com/,CX System – LED Dome,https://tech.cosm.com/site/products/cx-system/led-dome,N,https://tech.cosm.com/site/products/cx-system/led-dome,Premium-Festinstallation; kein Mobile-Claim.,Venues; planetariums; experiences,https://www.google.com/maps/search/?api=1&query=COSM+Technology+Los+Angeles%2C+CA
Durway (SkydomeX),"El Monte, CA",USA,https://durway.com/,SkydomeX LED Dome,https://durway.com/led-dome/,N,https://durway.com/led-dome/,Modulare Technologie; kein expliziter Mobile-Claim.,Planetariums; museums; theatre; experiential,https://www.google.com/maps/search/?api=1&query=Durway+El+Monte%2C+CA
Elport Digital,London,UK,https://elportdigital.com/,LED Dome,https://elportdigital.com/product/led-dome/,N,https://elportdigital.com/product/led-dome/,Maßanfertigung für Events/Installationen; kein expliziter Mobile-Claim.,Events; simulators; immersive rooms,https://www.google.com/maps/search/?api=1&query=Elport+Digital+London%2C+UK
Vision Pi (Shenzhen Weixinpai Zhixian Tech),Shenzhen,China,https://vision-pi.com/,Custom LED / XR (no dedicated dome page),https://vision-pi.com/,N,https://vision-pi.com/,XR/Creative LED; keine dedizierte Dome-Seite und kein Mobile-Claim gefunden.,XR virtual display; exhibitions; custom LED installations,https://www.google.com/maps/search/?api=1&query=Vision+Pi+Shenzhen%2C+China
Viewpointec,Zhongshan / Shenzhen,China,https://www.viewpointec.com/,LED Dome Screen,https://www.viewpointec.com/led-dome/,N,https://www.viewpointec.com/led-dome/,Installations-/Kalibrierhinweise; kein Mobile-Claim.,Planetariums; flying theatre; immersive venues,https://www.google.com/maps/search/?api=1&query=Viewpointec+Shenzhen%2C+China
